InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
n5Dm5pmiw7	Internal Hordeolum	Internal	ENTITY	C0205102	Internal	Happening or arising or located within some limits, or especially, within some surface.	intrinsic, Intramural, Internally, Intrinsic, Inside, inside, internal, Internal, insides, intrinsics, Internal (qualifier value), Inner, inner	T082	Spatial Concept	1.0
CWKGjzhwJG	Acanthamoeba Keratitis	Acanthamoeba Keratitis	ENTITY	C0000880	Acanthamoeba Keratitis	Infection of the cornea by an ameboid protozoan which may cause corneal ulceration leading to blindness.	Amoebic keratitis, Keratitides, Acanthamoeba, Acanthamoeba Keratitis, Acanthamoeba keratitis, Acanthamoeba Keratitides, Keratitis, Acanthamoeba, Acanthamoeba keratitis (disorder)	T047	Disease or Syndrome	1.0
DQ6mVbnDdA	Digestive system infectious disorder	Digestive system infectious disorder	ENTITY	C0729555	Infection of digestive system	A viral, bacterial, fungal, or parasitic infectious process that affects the digestive system.	Infectious disease of digestive tract (disorder), Gastrointestinal System Infection, Digestive System Infection, Infection of digestive system, Infection of digestive system (disorder), Gastrointestinal Infection, Infectious disease of digestive tract	T047	Disease or Syndrome	0.863
2yhmMWW8F2	Susceptibility to malaria	Susceptibility	ENTITY	C0012655	Disease susceptibility	A constitution or condition of the body which makes the tissues react in special ways to certain extrinsic stimuli and thus tends to make the individual more than usually susceptible to certain diseases.	Diathesis, function, vulnerability to disease, Diathesis, function (observable entity), Predisposition, Diathesis, susceptibilities, disease vulnerability, Disease Susceptibilities, Diathesis, NOS, Diatheses, Susceptibility, Disease, predisposition, Disease susceptibility, liability to disease, Susceptibility, diathesis, Susceptibilities, Disease, susceptibility, Disease Susceptibility, diatheses, disease/disorder proneness/risk, disease susceptibility	T201	Clinical Attribute	1.0
2yhmMWW8F2	Susceptibility to malaria	malaria	ENTITY	C0024530	Malaria	A protozoan disease caused in humans by four species of the PLASMODIUM genus: PLASMODIUM FALCIPARUM; PLASMODIUM VIVAX; PLASMODIUM OVALE; and PLASMODIUM MALARIAE; and transmitted by the bite of an infected female mosquito of the genus ANOPHELES. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. It is characterized by extreme exhaustion associated with paroxysms of high FEVER; SWEATING; shaking CHILLS; and ANEMIA. Malaria in ANIMALS is caused by other species of plasmodia.	Remittent Fever, Plasmodium Infection, malarias, Malaria fever NOS, Plasmodiosis, Disease caused by Plasmodiidae, Infections, Plasmodium, Paludism, Disease caused by Plasmodiidae (disorder), Malaria, unspecified, Plasmodium Infections, malaria fever, Fever, Remittent, DISEASES DUE TO PLASMODIIDAE, paludism, Fever, Marsh, MALARIA, Malaria (disorder), Malaria, Disease due to Plasmodiidae, Infection, Plasmodium, Malaria, NOS, Malarial fever (finding), fever malaria, Malaria NOS, Marsh Fever, malarial fever, Malarial fever, malaria	T047	Disease or Syndrome	1.0
ckERo5a5dZ	Subcutaneous Mycosis	Subcutaneous	ENTITY	C0443315	subcutaneous		Subcutaneous, Subcutaneous (qualifier value), SC - Subcutaneous, subcutaneous	T082	Spatial Concept	1.0
ckERo5a5dZ	Subcutaneous Mycosis	Mycosis	ENTITY	C0026946	Mycoses	Diseases caused by FUNGI.	mycosis, fungus infection, Fungal infection, Fungus infection, mycotic infection, Infection, Fungus, Fungal Diseases, Disease caused by fungus, Disease, Fungal, Mycosis, fungus disease, fungal disease, INFECTION FUNGAL, mycoses, Fungal infectious disease, Fungal (Mycotic), Fungal Infectious Disease, fungal diseases, Infections, Fungal, Diseases Caused by Fungi, Disease caused by fungus, NOS, Fungus Diseases, fungal infection, Diseases, Fungal, FUNGUS INFECTION, Fungus Disease, Infection, Fungal, FUNGAL INFECTION, Mycotic disease, Fungal infection, NOS, Fungus infection, NOS, Fungal infections, MYCOSES: GENERAL TERMS, Fungus Infections, Fungal Infection, Infections, Fungus, Fungal Disease, Disease, Fungus, Fungus Infection, Diseases, Fungus, Fungal Infections, Mycoses, fungal infections, INFECTION MYCOTIC, Mycosis (disorder), diseases caused by fungi, MYCOSES, Mycosis, NOS, fungus infections, Fungal infectious disease, NOS	T047	Disease or Syndrome	1.0
aAYXsLfgdT	Swine influenza	Swine	ENTITY	C0039005	Family suidae	Any of various animals that constitute the family Suidae and comprise stout-bodied, short-legged omnivorous mammals with thick skin, usually covered with coarse bristles, a rather long mobile snout, and small tail. Included are the genera Babyrousa, Phacochoerus (wart hogs), and Sus, the latter containing the domestic pig (see SUS SCROFA).	Pigs and hogs, Family Suidae (organism), boars, Suidae, Family Suidae, pigs, FAMILY SUIDAE, Swine, pig, swine, porcine, Suids, Suid, suid, Pigs, boar, Pig	T015	Mammal	1.0
ezK69jTFEc	West Nile encephalitis	West Nile encephalitis	ENTITY	C0751583	Encephalitis, West Nile Fever	An acute arboviral infection caused by a virus of the &lt;i&gt;Flaviviridae&lt;/i&gt; family transmitted by an infected mosquito, that is asymptomatic in the majority of cases but that can present in rare occasions with mild flulike symptoms such as low-grade fever, arthralgia, myalgia, and/or rash, or with neurologic manifestations including meningitis, encephalitis with mental confusion or disorientation, tremors and acute flaccid paralysis/poliomyelitis.	West Nile Fever with encephalitis, West Nile encephalitis, encephalitis west nile, West Nile virus encephalitis, West Nile encephalitis (disorder), fever encephalitis west nile, encephalitis nile west, West Nile Fever Encephalitis, West-Nile encephalitis, west nile encephalitis, West-Nile fever	T047	Disease or Syndrome	1.0
82maxJm3TE	Subphrenic Abscess	Subphrenic	ENTITY	C1550311	Subphrenic			T023	Body Part, Organ, or Organ Component	1.0
82maxJm3TE	Subphrenic Abscess	Abscess	ENTITY	C0000833	Abscess	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.	abscess, Abscess (morphologic abnormality), Abscess NOS, ABSCESS, Abscess (disorder), Abscesses, Abscess morphology, abscesses, Abscess	T047	Disease or Syndrome	1.0
6Xd2Ki2xrU	Hepatitis D virus infection	Hepatitis D virus infection	ENTITY	C0011226	Hepatitis D Infection	INFLAMMATION of the LIVER in humans caused by HEPATITIS DELTA VIRUS, a defective RNA virus that can only infect HEPATITIS B patients. For its viral coating, hepatitis delta virus requires the HEPATITIS B SURFACE ANTIGENS produced by these patients. Hepatitis D can occur either concomitantly with (coinfection) or subsequent to (superinfection) hepatitis B infection. Similar to hepatitis B, it is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.	Delta infection, Hepatitis D, Hepatitides, Delta, hepatitis delta, Delta Infection, delta hepatitis, Viral hepatitis type D, hepatitis d, Infections, Delta, Hepatitis D virus, HDV, Delta Hepatitis, Viral hepatitis type D (disorder), HEPATITIS D, Viral hepatitis D, hepatitis D, Hepatitis delta, Infection, Delta, HEPATITIS DELTA, HEPATITIS, ACUTE DELTA, Hepatitis D virus infection, Hepatitis, Delta	T047	Disease or Syndrome	1.0
2cGVhFYXsc	Septicemic plague	Septicemic plague	ENTITY	C0152936	Plague, Septicemic		Septicemic plague, Black Plague, Septicemic Plague, SEPTICEMIC PLAGUE, Black Death, Septicaemic plague, Septicemic plague (disorder)	T047	Disease or Syndrome	1.0
HRbJ9B47QK	Hantavirus pulmonary syndrome	Hantavirus pulmonary syndrome	ENTITY	C0243025	Hantavirus Pulmonary Syndrome	Acute respiratory illness in humans caused by the SIN NOMBRE VIRUS whose primary rodent reservoir is the deer mouse Peromyscus maniculatus. First identified in the southwestern United States, this syndrome is characterized most commonly by fever, myalgias, headache, cough, and rapid respiratory failure.	Hantavirus pulmonary syndrome (disorder), Hantavirus-Associated Respiratory Distress Syndrome, Hantavirus Associated Respiratory Distress Syndrome, HARDS, Hantavirus Pulmonary Syndromes, Hantavirus pulmonary syndrome, Hantavirus Pulmonary Syndrome	T047	Disease or Syndrome	1.0
dK5nhboGR5	Haemonchiasis	Haemonchiasis	ENTITY	C0018477	Haemonchiasis	Infection with nematodes of the genus HAEMONCHUS, characterized by digestive abnormalities and anemia similar to that from hookworm infestation.	Haemonchiases	T047	Disease or Syndrome	1.0
84SrYUNnJQ	Pythiosis	Pythiosis	ENTITY	C0276912	Pythiosis	A granulomatous disease caused by the aquatic organism PYTHIUM insidiosum and occurring primarily in horses, cattle, dogs, cats, fishes, and rarely in humans. It is classified into three forms: ocular, cutaneous, and arterial.	Pythium insidiosum Infection, Hyphomycosis destruens equi, Swamp cancer, swamp cancer, Infection by Pythium insidiosum, Pythioses, pythiosis, Equine dermal granuloma, Infection, Pythium insidiosum, Pythium insidiosum Infections, Pythiosis Insidiosi, Infection by Hyphomyces destruens, Pythiosis	T047	Disease or Syndrome	1.0
