InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
JQkdxwQB6s	Internal Hordeolum	Hordeolum	DISEASE	C0019917	Hordeolum	Purulent infection of one of the sebaceous glands of Zeis along the eyelid margin (external) or of the meibomian gland on the conjunctival side of the eyelid (internal).	stye, Hordeolum, NOS, Hordeolum, hordeolum, Styes, Hordeola, Sty, sty, STY, HORDEOLUM, Stye of eyelid, Stye, Hordeolum (disorder), STYE, Hordeolum NOS, styes, Hordeolas	T047	Disease or Syndrome	1.0
dMPXEn69UY	Acanthamoeba Keratitis	Acanthamoeba Keratitis	DISEASE	C0000880	Acanthamoeba Keratitis	Infection of the cornea by an ameboid protozoan which may cause corneal ulceration leading to blindness.	Amoebic keratitis, Keratitides, Acanthamoeba, Acanthamoeba Keratitis, Acanthamoeba keratitis, Acanthamoeba Keratitides, Keratitis, Acanthamoeba, Acanthamoeba keratitis (disorder)	T047	Disease or Syndrome	1.0
B64kM9CkGK	Digestive system infectious disorder	Digestive system infectious disorder	DISEASE	C0729555	Infection of digestive system	A viral, bacterial, fungal, or parasitic infectious process that affects the digestive system.	Infectious disease of digestive tract (disorder), Gastrointestinal System Infection, Digestive System Infection, Infection of digestive system, Infection of digestive system (disorder), Gastrointestinal Infection, Infectious disease of digestive tract	T047	Disease or Syndrome	0.863
crwDkxDfkB	Susceptibility to malaria	malaria	DISEASE	C0024530	Malaria	A protozoan disease caused in humans by four species of the PLASMODIUM genus: PLASMODIUM FALCIPARUM; PLASMODIUM VIVAX; PLASMODIUM OVALE; and PLASMODIUM MALARIAE; and transmitted by the bite of an infected female mosquito of the genus ANOPHELES. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. It is characterized by extreme exhaustion associated with paroxysms of high FEVER; SWEATING; shaking CHILLS; and ANEMIA. Malaria in ANIMALS is caused by other species of plasmodia.	Remittent Fever, Plasmodium Infection, malarias, Malaria fever NOS, Plasmodiosis, Disease caused by Plasmodiidae, Infections, Plasmodium, Paludism, Disease caused by Plasmodiidae (disorder), Malaria, unspecified, Plasmodium Infections, malaria fever, Fever, Remittent, DISEASES DUE TO PLASMODIIDAE, paludism, Fever, Marsh, MALARIA, Malaria (disorder), Malaria, Disease due to Plasmodiidae, Infection, Plasmodium, Malaria, NOS, Malarial fever (finding), fever malaria, Malaria NOS, Marsh Fever, malarial fever, Malarial fever, malaria	T047	Disease or Syndrome	1.0
k8wFnR9sWP	Swine influenza	Swine	CHEMICAL	C0039005	Family suidae	Any of various animals that constitute the family Suidae and comprise stout-bodied, short-legged omnivorous mammals with thick skin, usually covered with coarse bristles, a rather long mobile snout, and small tail. Included are the genera Babyrousa, Phacochoerus (wart hogs), and Sus, the latter containing the domestic pig (see SUS SCROFA).	Pigs and hogs, Family Suidae (organism), boars, Suidae, Family Suidae, pigs, FAMILY SUIDAE, Swine, pig, swine, porcine, Suids, Suid, suid, Pigs, boar, Pig	T015	Mammal	1.0
nEJqWTPCef	West Nile encephalitis	Nile encephalitis	DISEASE	C0751583	Encephalitis, West Nile Fever	An acute arboviral infection caused by a virus of the &lt;i&gt;Flaviviridae&lt;/i&gt; family transmitted by an infected mosquito, that is asymptomatic in the majority of cases but that can present in rare occasions with mild flulike symptoms such as low-grade fever, arthralgia, myalgia, and/or rash, or with neurologic manifestations including meningitis, encephalitis with mental confusion or disorientation, tremors and acute flaccid paralysis/poliomyelitis.	West Nile Fever with encephalitis, West Nile encephalitis, encephalitis west nile, West Nile virus encephalitis, West Nile encephalitis (disorder), fever encephalitis west nile, encephalitis nile west, West Nile Fever Encephalitis, West-Nile encephalitis, west nile encephalitis, West-Nile fever	T047	Disease or Syndrome	0.848
hwLmGDfsQv	Hepatitis D virus infection	Hepatitis D	DISEASE	C0011226	Hepatitis D Infection	INFLAMMATION of the LIVER in humans caused by HEPATITIS DELTA VIRUS, a defective RNA virus that can only infect HEPATITIS B patients. For its viral coating, hepatitis delta virus requires the HEPATITIS B SURFACE ANTIGENS produced by these patients. Hepatitis D can occur either concomitantly with (coinfection) or subsequent to (superinfection) hepatitis B infection. Similar to hepatitis B, it is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.	Delta infection, Hepatitis D, Hepatitides, Delta, hepatitis delta, Delta Infection, delta hepatitis, Viral hepatitis type D, hepatitis d, Infections, Delta, Hepatitis D virus, HDV, Delta Hepatitis, Viral hepatitis type D (disorder), HEPATITIS D, Viral hepatitis D, hepatitis D, Hepatitis delta, Infection, Delta, HEPATITIS DELTA, HEPATITIS, ACUTE DELTA, Hepatitis D virus infection, Hepatitis, Delta	T047	Disease or Syndrome	1.0
DrfaxGhyJv	Septicemic plague	Septicemic	DISEASE	C0036690	Septicemia	Systemic disease associated with the presence of pathogenic microorganisms or their toxins in the blood.	septicaemia, blood poisoning, Blood Poisoning, Infection in blood stream, Septicemia NOS, Blood Poisonings, Sepsis, poisoning blood, Blood poisoning, NOS, BLOOD POISONING, Septicemia, NOS, SEPTICAEMIA, SEPTICEMIA, septicemia, Poisoning, Blood, Poisonings, Blood, Septicemia, Unspecified septicemia, Septicaemia, NOS, Septicemias	T047	Disease or Syndrome	0.84
TwcNaNVZpu	Hantavirus pulmonary syndrome	Hantavirus pulmonary syndrome	DISEASE	C0243025	Hantavirus Pulmonary Syndrome	Acute respiratory illness in humans caused by the SIN NOMBRE VIRUS whose primary rodent reservoir is the deer mouse Peromyscus maniculatus. First identified in the southwestern United States, this syndrome is characterized most commonly by fever, myalgias, headache, cough, and rapid respiratory failure.	Hantavirus pulmonary syndrome (disorder), Hantavirus-Associated Respiratory Distress Syndrome, Hantavirus Associated Respiratory Distress Syndrome, HARDS, Hantavirus Pulmonary Syndromes, Hantavirus pulmonary syndrome, Hantavirus Pulmonary Syndrome	T047	Disease or Syndrome	1.0
hfaHQL2C3r	Dermatophytosis	Dermatophytosis	DISEASE	C0011636	Dermatophytosis	A common fungal infection of the stratum corneum of the skin, hair, or nails by a dermatophyte. It is characterized by itching, inflammation, redness of the skin, small papular vesicles, central clearing, fissures, scaling, and/or hair loss in the affected area.	dermatophytosis, DERMATOPHYTOSES, dermatophytoses, Dermatophytosis, Dermatophycosis, DERMATOPHYTOSIS, Ringworm infection, Dermatophytosis (disorder), Dermatophytosis of unspecified site	T047	Disease or Syndrome	1.0
