InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
LafMuuaBGx	Acanthamoeba infection	Acanthamoeba infection	DISEASE	C0033129	Acanthamoeba Infection		Acanthamoeba Infections, Infection by Acanthamoeba, NOS, Infection caused by Acanthamoeba (disorder), Acanthamoeba infection, acanthamebiasis, Infection, Acanthamoeba, Acanthamebiasis, Acanthamoebosis, Infection caused by Acanthamoeba, Acanthamebiases, Acanthamoebiasis, Infection by Acanthamoeba	T047	Disease or Syndrome	1.0
QpoxH5kFoK	Acrodermatitis Chronica Atrophicans	Acrodermatitis	DISEASE	C0001197	Acrodermatitis	Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.	Acrodermatitides, Acrodermatitis, Acrodermatitis, NOS, ACRODERMATITIS, acrodermatitis	T047	Disease or Syndrome	1.0
N9hz5KLCKA	Actinomycosis	Actinomycosis	DISEASE	C0001261	Actinomycosis	Infections with bacteria of the genus ACTINOMYCES.	Actinomycotic infection, Infection, Actinomyces, Actinomycosis, Actinomycotic infection of unspecified site, ACTINOMYCOTIC INFECTIONS, Actinomyces Infection, Actinomycosis NOS, actinomyces infection, actinomycosis, Actinomyces Infections, ACTINOMYCOSIS, Actinomycotic infection (disorder), Actinomycosis, NOS, actinomycoses, actinomycotic infection, Infections, Actinomyces, Actinomycotic infection, NOS, Actinomycoses, Actinomycotic infections	T047	Disease or Syndrome	1.0
vuL8whq3kq	Acute Rhinosinusitis Empiric therapy	Rhinosinusitis	DISEASE	C0948780	Rhinosinusitis	Inflammation of the mucous membranes lining the nose and paranasal sinuses.	Rhinosinusitis (disorder), Rhinosinusitis, rhinosinusitis	T047	Disease or Syndrome	1.0
UPZSEPFLxp	Acute Rhinosinusitis Organism-Specific therapy	Rhinosinusitis	DISEASE	C0948780	Rhinosinusitis	Inflammation of the mucous membranes lining the nose and paranasal sinuses.	Rhinosinusitis (disorder), Rhinosinusitis, rhinosinusitis	T047	Disease or Syndrome	1.0
PZDFCLcEuE	Acute Sinusitis	Sinusitis	DISEASE	C0037199	Sinusitis	Inflammation of the NASAL MUCOSA in one or more of the PARANASAL SINUSES.	Sinus inflammation, Sinusitides, sinusitis, Sinusitis, Sinus Infection, Sinus infection, Infection, Sinus, Sinusitis, NOS, Unspecified sinusitis, SINUSITIS, Sinusitis (disorder), Sinus Infections, Infections, Sinus, sinus infection, Sinusitis NOS	T047	Disease or Syndrome	1.0
vfCaui5mV9	Acute and chronic inflammatory Demyelinating Polyneuropathy in HIV	Polyneuropathy	DISEASE	C0152025	Polyneuropathy	Diseases of multiple peripheral nerves simultaneously. Polyneuropathies usually are characterized by symmetrical, bilateral distal motor and sensory impairment with a graded increase in severity distally. The pathological processes affecting peripheral nerves include degeneration of the axon, myelin or both. The various forms of polyneuropathy are categorized by the type of nerve affected (e.g., sensory, motor, or autonomic), by the distribution of nerve injury (e.g., distal vs. proximal), by nerve component primarily affected (e.g., demyelinating vs. axonal), by etiology, or by pattern of inheritance.	Polyneuropathies, Polyneuropathy, NOS, POLYNEUROPATHY, polyneuropathy, Polyneuropathy (disorder), polyneuropathies, Polyneuropathy, Polyneuropathy (multiple nerve disorder)	T047	Disease or Syndrome	1.0
rh55JFQgw6	African Trypanosomiasis (sleeping sickness)	sleeping sickness	DISEASE	C0041228	African Trypanosomiasis	"A disease endemic among people and animals in Central Africa. It is caused by various species of trypanosomes, particularly T. gambiense and T. rhodesiense. Its second host is the TSETSE FLY. Involvement of the central nervous system produces ""African sleeping sickness."" Nagana is a rapidly fatal trypanosomiasis of horses and other animals."	Sleeping sickness NOS, African Sleeping Sicknesses, SLEEPING SICKNESS, African trypanosomiasis, unspecified, SCHLAFKRANKHEIT, Sleeping Sicknesses, African, Sleeping Sickness, African Sleeping Sickness, Sicknesses, African Sleeping, sickness sleeping, African sickness sleeping, Sickness, African Sleeping, Sleeping sickness, SLEEPING SICKNESS, AFRICAN, Trypanosomiasis, African, African sleeping sickness, African Trypanosomiasis, Sleeping sickness, NOS, African trypanosomiasis, African trypanosomiasis (disorder), MALADIE DU SOMMEIL, Sleeping Sickness, African, Trypanosomiases, African, TRYPANOSOMIASIS, AFRICAN, sleeping sickness, African Trypanosomiases	T047	Disease or Syndrome	1.0
xGqRJi5tLR	Alcoholic hepatitis	Alcoholic hepatitis	DISEASE	C0019187	Hepatitis, Alcoholic	INFLAMMATION of the LIVER due to ALCOHOL ABUSE. It is characterized by NECROSIS of HEPATOCYTES, infiltration by NEUTROPHILS, and deposit of MALLORY BODIES. Depending on its severity, the inflammatory lesion may be reversible or progress to LIVER CIRRHOSIS.	HEPATITIS, ALCOHOLIC, alcohol hepatitis, hepatitis alcoholic, Alcoholic hepatitis, alcoholic hepatitis, Alcoholic Hepatitis, Alcoholic hepatitis (disorder), ALCOHOLIC HEPATITIS, hepatitis alcohol, AH - Alcoholic hepatitis, alcoholics hepatitis	T047	Disease or Syndrome	1.0
9W4VYEsU5C	Amebiasis	Amebiasis	DISEASE	C0002438	Amebiasis	Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.	Amebiases, Disease caused by Endamoebidae, Amebic infection (disorder), Disease caused by Endamoebidae (disorder), Amebiasis NOS, Amoebic infection, amebiasis, AMEBIASIS, Amoebiasis, amebiases, Disease due to Endamoebidae, Amebic infection, amoebiasis, Amoebiases, Amebiasis, DISEASES DUE TO ENDAMOEBIDAE, Amebiasis, unspecified	T047	Disease or Syndrome	1.0
