InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.Synonyms	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.MappingScore
3sFNBrhjyo	Swine influenza	Swine influenza	ORGANISM	C0276357	Swine influenza	disease caused by strains of influenza A virus, causing influenza and pneumonia in domestic pigs.	porcine influenza, Influenza, Swine, Swine influenza, swine influenza, Swine Influenza	T047	Disease or Syndrome	1.0
vsMSUtcRru	Hepatitis D virus infection	Hepatitis D virus	ORGANISM	C0011220	Hepatitis Delta Virus	A defective virus, containing particles of RNA nucleoprotein in virion-like form, present in patients with acute hepatitis B and chronic hepatitis. It requires the presence of a hepadnavirus for full replication. This is the lone species in the genus Deltavirus.	Delta Viruses, Hepatitis, Hepatitis D Virus, hepatitis delta virus, hepatitis delta virus HDV, Hepatitis Delta Virus, Delta Agent, HEPATITIS, DELTA VIRUS, hepatitis D virus, delta agent, Hepatitis delta virus, Delta agent, Hepatitis D virus, HDV - Hepatitis D virus, Hepatitis D Viruses, delta hepatitis virus, Delta Agents, Delta Viruses, Hepatitis D virus (organism), Delta Virus, Hepatitis, Delta hepatitis viral agent, Delta Virus, hepatitis d virus, Hepatitis Delta Viruses	T005	Virus	1.0
czs9PSi2Fd	Hantavirus pulmonary syndrome	Hantavirus pulmonary	ORGANISM	C0243025	Hantavirus Pulmonary Syndrome	Acute respiratory illness in humans caused by the SIN NOMBRE VIRUS whose primary rodent reservoir is the deer mouse Peromyscus maniculatus. First identified in the southwestern United States, this syndrome is characterized most commonly by fever, myalgias, headache, cough, and rapid respiratory failure.	Hantavirus pulmonary syndrome (disorder), Hantavirus-Associated Respiratory Distress Syndrome, Hantavirus Associated Respiratory Distress Syndrome, HARDS, Hantavirus Pulmonary Syndromes, Hantavirus pulmonary syndrome, Hantavirus Pulmonary Syndrome	T047	Disease or Syndrome	0.745
fioMnTiNHe	Contagious Pustular Dermatitis	Pustular	IMMATERIAL_ANATOMICAL_ENTITY	C0333369	Pustular		pustular, Pustular, Pustular (qualifier value)	T169	Functional Concept	1.0
3uQyC49b26	Central nervous system tuberculosis	Central nervous system	ANATOMICAL_SYSTEM	C3540014	CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS		CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS, CENTRAL NERVOUS SYSTEM	T130	Indicator, Reagent, or Diagnostic Aid	1.0
2wzTEWHoQu	Oral tuberculosis	Oral	ORGAN	C0226896	Oral cavity	The oval-shaped oral cavity located at the apex of the digestive tract and consisting of two parts: the vestibule and the oral cavity proper.	Oral cavity, Buccal Cavity, mouths, oral cavity, Cavitas oris, NOS, Cavity, Oral, Orally, mouth anatomy, Mouth, NOS, Cavity of mouth, Oral Cavity, Buccal cavity, NOS, Oral, Cavitas Oris, Cavitas oris, Buccal cavity, Oral cavity structure (body structure), anatomies mouth, Oral cavity, NOS, MOUTH, anatomy mouth, Oral cavity structure, mouth, Mouth	T030	Body Space or Junction	1.0
3DgdL6xxb6	Plantar wart	Plantar wart	PATHOLOGICAL_FORMATION	C0042548	Plantar wart	A wart in the plantar surface of the foot. It is caused by human papillomavirus.	Verruca plantaris, wart plantar, PLANTAR WARTS, Plantar warts, plantar's wart, verruca pedis, plantars wart, Plantar wart, verruca plantaris, warts plantar, VP - verruca pedis, plantar's warts, PLANTAR WART, Verruca plantaris (disorder), plantar wart, Plantar Warts, Verruca Plantaris, plantar warts, plantars warts, Verruca pedis	T047	Disease or Syndrome	1.0
9wVWhzP9vJ	Equine infectious anemia	Equine	ORGANISM	C0019944	Equus caballus	Large, hoofed mammals of the family EQUIDAE. Horses are active day and night with most of the day spent seeking and consuming food. Feeding peaks occur in the early morning and late afternoon, and there are several daily periods of rest.	Horses, Domestic, Equine, NOS, stallions, Feral horse, Horse, domestic horse, stallion, Equine species, Equus caballus caballus, Equus caballus, Domestic Horses, Stallion, Equus caballus (organism), Horse, Domestic, Equus przewalskii forma caballus, Horses, Equus przewalskii f. caballus, Equine, Equine Species, horse, EQUINE SPECIES, equine, Domestic Horse	T015	Mammal	1.0
FBtWK4QJ8w	Genital herpes	Genital herpes	ORGAN	C0019342	Genital Herpes	Infection of the genitals (GENITALIA) with HERPES SIMPLEX VIRUS in either the males or the females.	Herpes Simplex Virus Genital Infection, Herpes Genitalis, HERPES GENITAL, HERPES GENITALIA, Genital herpes simplex, Genital herpes, unspecified, genital herpes simplex, Genital herpes simplex, NOS, genitals herpes, Genital herpes, Genital herpes simplex (disorder), genital hsv, Herpes genitalis, GENITAL HERPES, Herpes Simplex, Genital, Genital Herpes Simplex, HERPES GENITALIS, herpes genitalis, simplex genital herpes, Genital Herpes, Herpes, Genital, genital herpes, venereal herpes	T047	Disease or Syndrome	1.0
ozHie3AnmS	Kaposi's Sarcoma	Kaposi	CANCER	C0043346	Xeroderma Pigmentosum	A rare, pigmentary, and atrophic autosomal recessive disease. It is manifested as an extreme photosensitivity to ULTRAVIOLET RAYS as the result of a deficiency in the enzyme that permits excisional repair of ultraviolet-damaged DNA.	Angioma Pigmentosum Atrophicum, Atrophoderma pigmentosum, Pigmented Epitheliomatosis, Pigmented epitheliomatosis, Melanosis lenticularis progressiva, Xeroderma Pigmentosum, KAPOSI DISEASE, Kaposi's Disease, XP - Xeroderma pigmentosum, Melanosis Lenticularis Progressiva, Xeroderma pigmentosum (disorder), Kaposis Disease, Kaposi dermatosis, Kaposi Disease, Kaposi Dermatosis, pigmentosum xeroderma, Xeroderma Pigmentosum Syndrome, Xeroderma of Kaposi, Xeroderma pigmentosum syndrome, Xeroderma pigmentosum, Xeroderma pigmentosum, NOS, Atrophoderma Pigmentosum, XERODERMA PIGMENTOSUM, xeroderma pigmentosum, Angioma pigmentosum atrophicum	T019	Congenital Abnormality	0.798
8Wm9VmQMDd	Central nervous system infection	Central nervous system	ANATOMICAL_SYSTEM	C3540014	CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS		CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS, CENTRAL NERVOUS SYSTEM	T130	Indicator, Reagent, or Diagnostic Aid	1.0
dJG3PzAPed	Focal Epithelial hyperplasia	Focal Epithelial hyperplasia	CANCER	C0206067	Focal Epithelial Hyperplasia	Hyperplasia of the mucous membrane of the lips, tongue, and less commonly, the buccal mucosa, floor of the mouth, and palate, presenting soft, painless, round to oval sessile papules about 1 to 4 mm in diameter. The condition usually occurs in children and young adults and has familial predilection, lasting for several months, sometimes years, before running its course. A viral etiology is suspected, the isolated organism being usually the human papillomavirus. (Jablonski, Illustrated Dictionary of Dentistry; Belshe, Textbook of Human Virology, 2d ed, p954)	Heck Disease, Heck's Disease, Focal epithelial hyperplasia of mouth (disorder), Disease, Heck, Focal epithelial hyperplasia, Focal epithelial hyperplasia (morphologic abnormality), Epithelial Hyperplasias, Focal, Epithelial Hyperplasia, Focal, Focal Epithelial Hyperplasia, Oral, FOCAL EPITHELIAL HYPERPLASIA, ORAL, HECK DISEASE, FEH, ORAL, Hecks Disease, Hyperplasias, Focal Epithelial, Focal epithelial hyperplasia of mouth, Focal Epithelial Hyperplasia, Hyperplasia, Focal Epithelial, Multifocal epithelial hyperplasia, Oral focal epithelial hyperplasia, Focal Epithelial Hyperplasias, Disease, Heck's, Heck's disease	T047	Disease or Syndrome	1.0
