InputID	InputText	Entity	EntityType	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Pediatrician	ENTITY	C0237433	Pediatrician (occupation)	A medical doctor with specialized training in the care of children.	T097	Professional or Occupational Group	paediatrician, pediatrician occupation, pediatricians, Pediatricians, Pediatrician, pediatrician, Paediatrician, Pediatrician (occupation)	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	climate	ENTITY	C0008946	Climate	The longterm manifestations of WEATHER. (McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)	T070	Natural Phenomenon or Process	Climates, climates, climate, Meteorological Climate	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Change-Informed primary care	ENTITY								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Rebecca	ENTITY	C2654192	Rebecca (plant)		T002	Plant	Rebecca	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Philipsborn	ENTITY								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Md	ENTITY	C0022716	Menkes Kinky Hair Syndrome	An inherited disorder of copper metabolism transmitted as an X-linked trait and characterized by the infantile onset of HYPOTHERMIA, feeding difficulties, hypotonia, SEIZURES, bony deformities, pili torti (twisted hair), and severely impaired intellectual development. Defective copper transport across plasma and endoplasmic reticulum membranes results in copper being unavailable for the synthesis of several copper containing enzymes, including PROTEIN-LYSINE 6-OXIDASE; CERULOPLASMIN; and SUPEROXIDE DISMUTASE. Pathologic changes include defects in arterial elastin, neuronal loss, and gliosis. (From Menkes, Textbook of Child Neurology, 5th ed, p125)	T047	Disease or Syndrome	Menkes syndrome, Menkea Syndromes, X-Linked Copper Deficiencies, Trichopoliodystrophy, STEELY HAIR DISEASE, Hair Diseases, Steely, Steely Hair Syndrome, Congenital hypocupraemia, MNK, menkes disease, Menke's kinky hair syndrome, MENKES DISEASE, sex-linked neurodegenerative disease with monilethrix, Kinky Hair Diseases, Copper Deficiencies, X-Linked, Congenital Hypocupremia, Copper Transport Diseases, MD, menkes' syndrome, menkes kinky hair syndrome, Steely Hair Disease, X-Linked Copper Deficiency, Menkes' Diseases, Disease, Copper Transport, MK - Menkes syndrome, congenital hypocupraemia syndrome, menkes' disease, Menkes kinky-hair syndrome (disorder), Congenital hypocupremia, MENKES SYNDROME, menke syndrome, Congenital Hypocupremias, MNK - Menkes syndrome, Menkes kinky-hair syndrome, X-linked copper malabsorption, Deficiency, X-Linked Copper, Menkes' Disease, X Linked Copper Deficiency, Menkea Syndrome, Copper Deficiency, X-Linked, Kinky hair disease, copper transport disease, Hair Diseases, Kinky, Transport Disease, Copper, Menkes Kinky Hair Syndrome, Diseases, Steely Hair, menke disease, Syndromes, Steely Hair, kinky hair syndrome (KHS), Syndrome, Steely Hair, Diseases, Kinky Hair, Syndrome, Menkea, Menkes Disease, X-linked copper deficiency, menkes' kinky hair syndrome, Menkes Syndrome, Syndromes, Menkea, Kinky Hair Disease, Hypocupremia, Congenital, Diseases, Menkes', Steely-hair syndrome, Hypocupremias, Congenital, MK, trichopoliodystrophy, Steely Hair Syndromes, Menkes' syndrome, kinky hair syndrome, steely hair syndrome, Steely Hair Diseases, Menkes kinky hair syndrome (MKHS), menkes syndrome, Deficiencies, X-Linked Copper, Menkes kinky hair disease, Kinky Hair Syndrome, Menkes kinky hair syndrome, Diseases, Copper Transport, Copper transport disease, Disease, Steely Hair, KINKY HAIR DISEASE, Menkes disease, Copper Transport Disease, Steely hair syndrome, Steely hair disease, Transport Diseases, Copper, COPPER TRANSPORT DISEASE	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Mpa	ENTITY	C0025147	medroxyprogesterone	A synthetic progestational hormone used in veterinary practice as an estrus regulator.	T109,T121,T125	Organic Chemical,Pharmacologic Substance,Hormone	17Alpha-hydroxy-6alpha-methylprogesterone, Medroxyprogesterone-containing product, MEDROXYPROGESTERONE, 6Alpha-methyl-4-pregnen-17alpha-ol-3,20-dione, 17 alpha Hydroxy 6 alpha Methylprogesterone, Product containing medroxyprogesterone (medicinal product), (6Alpha)-17-hydroxy-6-methylpregn-4-ene-3,20-dione, MPA, Methylhydroxyprogesterone, Medroxyprogesterone, Medroxyprogesterone preparation, Pregn-4-ene-3,20-dione, 17-hydroxy-6-methyl-, (6alpha)-, medroxyprogesterone, (6alpha)-17-hydroxy-6-methylpregn-4-ene-3,20-dione, medroxyPROGESTERone, Medroxyprogesterone (substance), (6 alpha)-17-Hydroxy-6-methylpregn-4-ene-3,20-dione, 6Alpha-methyl-17alpha-hydroxyprogesterone, 17 alpha-Hydroxy-6 alpha-Methylprogesterone	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Ajulia	ENTITY								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Md	ENTITY	C0022716	Menkes Kinky Hair Syndrome	An inherited disorder of copper metabolism transmitted as an X-linked trait and characterized by the infantile onset of HYPOTHERMIA, feeding difficulties, hypotonia, SEIZURES, bony deformities, pili torti (twisted hair), and severely impaired intellectual development. Defective copper transport across plasma and endoplasmic reticulum membranes results in copper being unavailable for the synthesis of several copper containing enzymes, including PROTEIN-LYSINE 6-OXIDASE; CERULOPLASMIN; and SUPEROXIDE DISMUTASE. Pathologic changes include defects in arterial elastin, neuronal loss, and gliosis. (From Menkes, Textbook of Child Neurology, 5th ed, p125)	T047	Disease or Syndrome	Menkes syndrome, Menkea Syndromes, X-Linked Copper Deficiencies, Trichopoliodystrophy, STEELY HAIR DISEASE, Hair Diseases, Steely, Steely Hair Syndrome, Congenital hypocupraemia, MNK, menkes disease, Menke's kinky hair syndrome, MENKES DISEASE, sex-linked neurodegenerative disease with monilethrix, Kinky Hair Diseases, Copper Deficiencies, X-Linked, Congenital Hypocupremia, Copper Transport Diseases, MD, menkes' syndrome, menkes kinky hair syndrome, Steely Hair Disease, X-Linked Copper Deficiency, Menkes' Diseases, Disease, Copper Transport, MK - Menkes syndrome, congenital hypocupraemia syndrome, menkes' disease, Menkes kinky-hair syndrome (disorder), Congenital hypocupremia, MENKES SYNDROME, menke syndrome, Congenital Hypocupremias, MNK - Menkes syndrome, Menkes kinky-hair syndrome, X-linked copper malabsorption, Deficiency, X-Linked Copper, Menkes' Disease, X Linked Copper Deficiency, Menkea Syndrome, Copper Deficiency, X-Linked, Kinky hair disease, copper transport disease, Hair Diseases, Kinky, Transport Disease, Copper, Menkes Kinky Hair Syndrome, Diseases, Steely Hair, menke disease, Syndromes, Steely Hair, kinky hair syndrome (KHS), Syndrome, Steely Hair, Diseases, Kinky Hair, Syndrome, Menkea, Menkes Disease, X-linked copper deficiency, menkes' kinky hair syndrome, Menkes Syndrome, Syndromes, Menkea, Kinky Hair Disease, Hypocupremia, Congenital, Diseases, Menkes', Steely-hair syndrome, Hypocupremias, Congenital, MK, trichopoliodystrophy, Steely Hair Syndromes, Menkes' syndrome, kinky hair syndrome, steely hair syndrome, Steely Hair Diseases, Menkes kinky hair syndrome (MKHS), menkes syndrome, Deficiencies, X-Linked Copper, Menkes kinky hair disease, Kinky Hair Syndrome, Menkes kinky hair syndrome, Diseases, Copper Transport, Copper transport disease, Disease, Steely Hair, KINKY HAIR DISEASE, Menkes disease, Copper Transport Disease, Steely hair syndrome, Steely hair disease, Transport Diseases, Copper, COPPER TRANSPORT DISEASE	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
XV2VziH7Vf	A Pediatrician ’ s guide to climate Change-Informed primary care Rebecca pass Philipsborn, Md, Mpa, Ajulia Cowenhoven, Md, Baparna Bole, Md, C Sophie J balk, Md, Dand Aaron Bernstein, Md, Mphe, * despite the urgency of the climate crisis and mounting evidence linking climate change to child health Harms, Pediatricians do not routinely engage with climate change in the Ofﬁce . Each primary care visit offers opportunities to screen for and support children burdened with risks to health that are increasingly intense due to climate change . routine promotion of healthy behaviors also Aligns with some needed —And Powerful—Solutions to the climate crisis . for some patients, including those engaged in athletics, those with asthma and allergies, or those with complex Healthcare needs, Prepared-	Baparna Bole	ENTITY								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
