ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score
ctjUEpQynX	Internal Hordeolum	Hordeolum	DISEASE	C0019917	Hordeolum	Purulent infection of one of the sebaceous glands of Zeis along the eyelid margin (external) or of the meibomian gland on the conjunctival side of the eyelid (internal).	T047	Disease or Syndrome	stye, Hordeolum, NOS, Hordeolum, hordeolum, Styes, Hordeola, Sty, sty, STY, HORDEOLUM, Stye of eyelid, Stye, Hordeolum (disorder), STYE, Hordeolum NOS, styes, Hordeolas	1.0
D6hRB2gde9	Acanthamoeba Keratitis	Acanthamoeba Keratitis	DISEASE	C0000880	Acanthamoeba Keratitis	Infection of the cornea by an ameboid protozoan which may cause corneal ulceration leading to blindness.	T047	Disease or Syndrome	Amoebic keratitis, Keratitides, Acanthamoeba, Acanthamoeba Keratitis, Acanthamoeba keratitis, Acanthamoeba Keratitides, Keratitis, Acanthamoeba, Acanthamoeba keratitis (disorder)	1.0
TxcEo2CrMP	Digestive system infectious disorder	Digestive system infectious disorder	DISEASE	C0729555	Infection of digestive system	A viral, bacterial, fungal, or parasitic infectious process that affects the digestive system.	T047	Disease or Syndrome	Infectious disease of digestive tract (disorder), Gastrointestinal System Infection, Digestive System Infection, Infection of digestive system, Infection of digestive system (disorder), Gastrointestinal Infection, Infectious disease of digestive tract	0.863
gckEZCpaUb	Susceptibility to malaria	malaria	DISEASE	C0024530	Malaria	A protozoan disease caused in humans by four species of the PLASMODIUM genus: PLASMODIUM FALCIPARUM; PLASMODIUM VIVAX; PLASMODIUM OVALE; and PLASMODIUM MALARIAE; and transmitted by the bite of an infected female mosquito of the genus ANOPHELES. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. It is characterized by extreme exhaustion associated with paroxysms of high FEVER; SWEATING; shaking CHILLS; and ANEMIA. Malaria in ANIMALS is caused by other species of plasmodia.	T047	Disease or Syndrome	Remittent Fever, Plasmodium Infection, malarias, Malaria fever NOS, Plasmodiosis, Disease caused by Plasmodiidae, Infections, Plasmodium, Paludism, Disease caused by Plasmodiidae (disorder), Malaria, unspecified, Plasmodium Infections, malaria fever, Fever, Remittent, DISEASES DUE TO PLASMODIIDAE, paludism, Fever, Marsh, MALARIA, Malaria (disorder), Malaria, Disease due to Plasmodiidae, Infection, Plasmodium, Malaria, NOS, Malarial fever (finding), fever malaria, Malaria NOS, Marsh Fever, malarial fever, Malarial fever, malaria	1.0
yYDvQMJiTD	Subcutaneous Mycosis									
anGhDwSBNU	Swine influenza	Swine	CHEMICAL	C0039005	Family suidae	Any of various animals that constitute the family Suidae and comprise stout-bodied, short-legged omnivorous mammals with thick skin, usually covered with coarse bristles, a rather long mobile snout, and small tail. Included are the genera Babyrousa, Phacochoerus (wart hogs), and Sus, the latter containing the domestic pig (see SUS SCROFA).	T015	Mammal	Pigs and hogs, Family Suidae (organism), boars, Suidae, Family Suidae, pigs, FAMILY SUIDAE, Swine, pig, swine, porcine, Suids, Suid, suid, Pigs, boar, Pig	1.0
Y4og9ECk89	West Nile encephalitis	Nile encephalitis	DISEASE	C0751583	Encephalitis, West Nile Fever	An acute arboviral infection caused by a virus of the &lt;i&gt;Flaviviridae&lt;/i&gt; family transmitted by an infected mosquito, that is asymptomatic in the majority of cases but that can present in rare occasions with mild flulike symptoms such as low-grade fever, arthralgia, myalgia, and/or rash, or with neurologic manifestations including meningitis, encephalitis with mental confusion or disorientation, tremors and acute flaccid paralysis/poliomyelitis.	T047	Disease or Syndrome	West Nile Fever with encephalitis, West Nile encephalitis, encephalitis west nile, West Nile virus encephalitis, West Nile encephalitis (disorder), fever encephalitis west nile, encephalitis nile west, West Nile Fever Encephalitis, West-Nile encephalitis, west nile encephalitis, West-Nile fever	0.848
7iyhLQVgqE	Subphrenic Abscess									
ponQCYBunz	Hepatitis D virus infection	Hepatitis D	DISEASE	C0011226	Hepatitis D Infection	INFLAMMATION of the LIVER in humans caused by HEPATITIS DELTA VIRUS, a defective RNA virus that can only infect HEPATITIS B patients. For its viral coating, hepatitis delta virus requires the HEPATITIS B SURFACE ANTIGENS produced by these patients. Hepatitis D can occur either concomitantly with (coinfection) or subsequent to (superinfection) hepatitis B infection. Similar to hepatitis B, it is primarily transmitted by parenteral exposure, such as transfusion of contaminated blood or blood products, but can also be transmitted via sexual or intimate personal contact.	T047	Disease or Syndrome	Delta infection, Hepatitis D, Hepatitides, Delta, hepatitis delta, Delta Infection, delta hepatitis, Viral hepatitis type D, hepatitis d, Infections, Delta, Hepatitis D virus, HDV, Delta Hepatitis, Viral hepatitis type D (disorder), HEPATITIS D, Viral hepatitis D, hepatitis D, Hepatitis delta, Infection, Delta, HEPATITIS DELTA, HEPATITIS, ACUTE DELTA, Hepatitis D virus infection, Hepatitis, Delta	1.0
ytjgGYtpbV	Septicemic plague	Septicemic	DISEASE	C0036690	Septicemia	Systemic disease associated with the presence of pathogenic microorganisms or their toxins in the blood.	T047	Disease or Syndrome	septicaemia, blood poisoning, Blood Poisoning, Infection in blood stream, Septicemia NOS, Blood Poisonings, Sepsis, poisoning blood, Blood poisoning, NOS, BLOOD POISONING, Septicemia, NOS, SEPTICAEMIA, SEPTICEMIA, septicemia, Poisoning, Blood, Poisonings, Blood, Septicemia, Unspecified septicemia, Septicaemia, NOS, Septicemias	0.84
sRN7mBbJ53	Hantavirus pulmonary syndrome	Hantavirus pulmonary syndrome	DISEASE	C0243025	Hantavirus Pulmonary Syndrome	Acute respiratory illness in humans caused by the SIN NOMBRE VIRUS whose primary rodent reservoir is the deer mouse Peromyscus maniculatus. First identified in the southwestern United States, this syndrome is characterized most commonly by fever, myalgias, headache, cough, and rapid respiratory failure.	T047	Disease or Syndrome	Hantavirus pulmonary syndrome (disorder), Hantavirus-Associated Respiratory Distress Syndrome, Hantavirus Associated Respiratory Distress Syndrome, HARDS, Hantavirus Pulmonary Syndromes, Hantavirus pulmonary syndrome, Hantavirus Pulmonary Syndrome	1.0
mWzStXWYV4	Haemonchiasis									
KKtiTpDyH9	Typhus									
2Uyg5gdSTv	Pythiosis									
rvgC4FTags	Dermatophytosis	Dermatophytosis	DISEASE	C0011636	Dermatophytosis	A common fungal infection of the stratum corneum of the skin, hair, or nails by a dermatophyte. It is characterized by itching, inflammation, redness of the skin, small papular vesicles, central clearing, fissures, scaling, and/or hair loss in the affected area.	T047	Disease or Syndrome	dermatophytosis, DERMATOPHYTOSES, dermatophytoses, Dermatophytosis, Dermatophycosis, DERMATOPHYTOSIS, Ringworm infection, Dermatophytosis (disorder), Dermatophytosis of unspecified site	1.0
opwFeQmmEc	Legionellosis	Legionellosis	DISEASE	C0023240	Legionellosis	Infections with bacteria of the genus LEGIONELLA.	T047	Disease or Syndrome	Legionella infection (disorder), LEGIONELLA INFECTIONS, Legionellosis, Legionella infection, NOS, Legionellosis, NOS, Legionella infection, Legionelloses, legionella infection, legionellosis	1.0
VGXKGeA7UF	Contagious Pustular Dermatitis	Pustular Dermatitis	DISEASE	C3670462	Pustular dermatitis		T184	Sign or Symptom	Pustular dermatitis (disorder)	1.0
GnnDCCufdP	Bacteriemia	Bacteriemia	DISEASE							
2gZTnS5Mqn	Commensal Bifidobacteriales infectious disease									
ZDfvDg35iW	Renal tuberculosis	Renal tuberculosis	DISEASE	C0041328	Tuberculosis, Renal	Infection of the KIDNEY with species of MYCOBACTERIUM.	T047	Disease or Syndrome	tuberculosis kidney, kidney of tuberculosis, KIDNEY, TUBERCULOSIS, Tuberculous pyelonephritis, kidney tuberculosis, Tuberculosis of kidney (disorder), of kidney tuberculosis, Tuberculosis, Renal, tuberculosis renal, Renal Tuberculosis, renal tb, Tuberculosis of kidney, Kidneys--Tuberculosis, Tuberculosis of kidney, unspecified, RENAL TUBERCULOSIS, Tuberculous nephropathy, renal tuberculosis, Tuberculoses, Renal, TB - Renal tuberculosis, Renal Tuberculoses, Renal tuberculosis, kidneys tuberculosis	1.0
Cxj9Au2URS	Discitis	Discitis	DISEASE	C0012624	Discitis	Inflammation of an INTERVERTEBRAL DISC or disk space which may lead to disk erosion. Until recently, discitis has been defined as a nonbacterial inflammation and has been attributed to aseptic processes (e.g., chemical reaction to an injected substance). However, recent studies provide evidence that infection may be the initial cause, but perhaps not the promoter, of most cases of discitis. Discitis has been diagnosed in patients following discography, myelography, lumbar puncture, paravertebral injection, and obstetrical epidural anesthesia. Discitis following chemonucleolysis (especially with chymopapain) is attributed to chemical reaction by some and to introduction of microorganisms by others.	T047	Disease or Syndrome	Discitides, diskitis, Inflammatory discitis, Spondylodiscitides, Spondylodiskitides, spondylodiscitis, Spondylodiskitis, spondylodiskitis, Intervertebral discitis, Discitis, Spondylodiscitis, Discitis (disorder), Diskitides, discitis, Discitis, NOS, Diskitis	1.0
2FuFRGpwLK	Central nervous system tuberculosis	Central nervous system tuberculosis	DISEASE	C0275904	Tuberculosis, Central Nervous System	Tuberculosis of the brain, spinal cord, or meninges (TUBERCULOSIS, MENINGEAL), most often caused by MYCOBACTERIUM TUBERCULOSIS and rarely by MYCOBACTERIUM BOVIS. The infection may be limited to the nervous system or coexist in other organs (e.g., TUBERCULOSIS, PULMONARY). The organism tends to seed the meninges causing a diffuse meningitis and leads to the formation of TUBERCULOMA, which may occur within the brain, spinal cord, or perimeningeal spaces. Tuberculous involvement of the vertebral column (TUBERCULOSIS, SPINAL) may result in nerve root or spinal cord compression. (From Adams et al., Principles of Neurology, 6th ed, pp717-20)	T047	Disease or Syndrome	Unspecified tuberculosis of central nervous system, Tuberculosis of central nervous system, NOS, cns tuberculosis, Tuberculosis of central nervous system (disorder), Unspecified tuberculosis of central nervous system, unspecified, Central Nervous System Tuberculosis, Tuberculosis of central nervous system, Tuberculosis of central nervous system NOS	1.0
