ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score
CZHYFqefwZ	Acanthamoeba infection	Acanthamoeba infection	DISEASE	C0033129	Acanthamoeba Infection		T047	Disease or Syndrome	Acanthamoeba Infections, Infection by Acanthamoeba, NOS, Infection caused by Acanthamoeba (disorder), Acanthamoeba infection, acanthamebiasis, Infection, Acanthamoeba, Acanthamebiasis, Acanthamoebosis, Infection caused by Acanthamoeba, Acanthamebiases, Acanthamoebiasis, Infection by Acanthamoeba	1.0
uSyNVMoLfi	Acinetobacter									
UbVGzn2RGG	Acrodermatitis Chronica Atrophicans	Acrodermatitis	DISEASE	C0001197	Acrodermatitis	Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.	T047	Disease or Syndrome	Acrodermatitides, Acrodermatitis, Acrodermatitis, NOS, ACRODERMATITIS, acrodermatitis	1.0
23a4wYt8ET	Actinomycosis	Actinomycosis	DISEASE	C0001261	Actinomycosis	Infections with bacteria of the genus ACTINOMYCES.	T047	Disease or Syndrome	Actinomycotic infection, Infection, Actinomyces, Actinomycosis, Actinomycotic infection of unspecified site, ACTINOMYCOTIC INFECTIONS, Actinomyces Infection, Actinomycosis NOS, actinomyces infection, actinomycosis, Actinomyces Infections, ACTINOMYCOSIS, Actinomycotic infection (disorder), Actinomycosis, NOS, actinomycoses, actinomycotic infection, Infections, Actinomyces, Actinomycotic infection, NOS, Actinomycoses, Actinomycotic infections	1.0
4pkNokTD9K	Acute disseminated Encephalomyelitis									
3gnt3MYZgm	Acute Rhinosinusitis Empiric therapy	Rhinosinusitis	DISEASE	C0948780	Rhinosinusitis	Inflammation of the mucous membranes lining the nose and paranasal sinuses.	T047	Disease or Syndrome	Rhinosinusitis (disorder), Rhinosinusitis, rhinosinusitis	1.0
5z9jGWQra9	Acute Rhinosinusitis Organism-Specific therapy	Rhinosinusitis	DISEASE	C0948780	Rhinosinusitis	Inflammation of the mucous membranes lining the nose and paranasal sinuses.	T047	Disease or Syndrome	Rhinosinusitis (disorder), Rhinosinusitis, rhinosinusitis	1.0
rENMVXuxin	Acute Sinusitis	Sinusitis	DISEASE	C0037199	Sinusitis	Inflammation of the NASAL MUCOSA in one or more of the PARANASAL SINUSES.	T047	Disease or Syndrome	Sinus inflammation, Sinusitides, sinusitis, Sinusitis, Sinus Infection, Sinus infection, Infection, Sinus, Sinusitis, NOS, Unspecified sinusitis, SINUSITIS, Sinusitis (disorder), Sinus Infections, Infections, Sinus, sinus infection, Sinusitis NOS	1.0
my5APuRrtZ	Acute and chronic inflammatory Demyelinating Polyneuropathy in HIV	Polyneuropathy	DISEASE	C0152025	Polyneuropathy	Diseases of multiple peripheral nerves simultaneously. Polyneuropathies usually are characterized by symmetrical, bilateral distal motor and sensory impairment with a graded increase in severity distally. The pathological processes affecting peripheral nerves include degeneration of the axon, myelin or both. The various forms of polyneuropathy are categorized by the type of nerve affected (e.g., sensory, motor, or autonomic), by the distribution of nerve injury (e.g., distal vs. proximal), by nerve component primarily affected (e.g., demyelinating vs. axonal), by etiology, or by pattern of inheritance.	T047	Disease or Syndrome	Polyneuropathies, Polyneuropathy, NOS, POLYNEUROPATHY, polyneuropathy, Polyneuropathy (disorder), polyneuropathies, Polyneuropathy, Polyneuropathy (multiple nerve disorder)	1.0
69PhuyMPcx	Adenovirus									
